,Name,Filter,mwebv_corr,ra,dec,mwebv
25,2006bh,CSP-Y,0.025386092990045128,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-J,0.018459469298184317,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-H,0.0119784961410776,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-Ydw,0.024982543662851242,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-Jdw,0.01865694807370133,22:40:16.099,-66:29:06.29,0.022862181382705554
25,2006bh,CSP-Hdw,0.01199595407173426,22:40:16.099,-66:29:06.29,0.022862181382705554
26,2006d,CSP-u,0.18676636216407216,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-g,0.14725964267054792,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-r,0.10200190385475882,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-i,0.07415613382740238,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-B,0.1600923708111086,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-V0,0.12380630348487287,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-Y,0.04363699782413555,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-J,0.03173074611131099,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-H,0.020590584905011866,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-Ydw,0.042943564013580016,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-Jdw,0.03207007262405526,12:52:33.941,-09:46:30.79,0.039300244824291244
26,2006d,CSP-Hdw,0.020620587885895603,12:52:33.941,-09:46:30.79,0.039300244824291244
27,2006eq,CSP-u,0.19598636398394964,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-g,0.1545237875256138,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-r,0.10703585786733094,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-i,0.07781634525202197,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-B,0.1679930094583746,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-V0,0.1299162522575621,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-Y,0.04579119747725535,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-J,0.03329719627356731,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-H,0.021607110485877712,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-Ydw,0.04506356117037136,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-Jdw,0.033653258461033175,21:28:37.130,+01:13:41.20,0.041240563178662606
27,2006eq,CSP-Hdw,0.021638593857012722,21:28:37.130,+01:13:41.20,0.041240563178662606
28,2006et,CSP-u,0.07834180459881945,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-g,0.06179622239280658,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-r,0.04279330631995992,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-i,0.03110874487333337,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-B,0.06716504067137663,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-V0,0.05194140604332276,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-Y,0.01830418763801589,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-J,0.01330984502549093,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-H,0.008636823078257194,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-Ydw,0.018013176498978822,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-Jdw,0.013452254126514518,00:42:45.821,-23:33:30.38,0.01648409256819042
28,2006et,CSP-Hdw,0.008649411788702821,00:42:45.821,-23:33:30.38,0.01648409256819042
29,2006ev,CSP-g,0.2900197123752559,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-r,0.20097284864872744,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-i,0.1461268228588679,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-B,0.31542111011202145,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-V0,0.24393050719624654,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-Y,0.08600116925415868,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-J,0.06253664827753092,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-H,0.04058217640403683,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-Ydw,0.0846356299706148,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-Jdw,0.06320482639358005,21:30:59.261,+13:59:21.19,0.07746185841078093
29,2006ev,CSP-Hdw,0.04064127960377206,21:30:59.261,+13:59:21.19,0.07746185841078093
30,2006fw,CSP-u,0.1336002499644764,01:47:10.339,-00:08:49.20,0.02811198746404727
30,2006fw,CSP-g,0.10536157311022709,01:47:10.339,-00:08:49.20,0.02811198746404727
30,2006fw,CSP-r,0.07297137319867875,01:47:10.339,-00:08:49.20,0.02811198746404727
30,2006fw,CSP-i,0.053048798810297004,01:47:10.339,-00:08:49.20,0.02811198746404727
30,2006fw,CSP-B,0.11452950832791942,01:47:10.339,-00:08:49.20,0.02811198746404727
30,2006fw,CSP-V0,0.08857041118990949,01:47:10.339,-00:08:49.20,0.02811198746404727
